# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
zenbook;1;2018-01-25 19:10:39 UTC;enp0s20f0u1u3;64,00;108,00;6,77;21,72;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:40 UTC;enp0s20f0u1u3;71,00;125,00;7,33;24,10;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:41 UTC;enp0s20f0u1u3;64,00;102,00;6,92;20,37;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:42 UTC;enp0s20f0u1u3;58,00;109,00;6,11;22,07;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:43 UTC;enp0s20f0u1u3;66,00;114,00;7,06;22,46;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:44 UTC;enp0s20f0u1u3;60,00;103,00;6,91;20,78;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:45 UTC;enp0s20f0u1u3;64,00;119,00;6,69;23,56;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:46 UTC;enp0s20f0u1u3;57,00;105,00;6,07;21,55;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:47 UTC;enp0s20f0u1u3;61,00;104,00;6,25;20,91;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:48 UTC;enp0s20f0u1u3;68,00;112,00;7,31;21,91;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:49 UTC;enp0s20f0u1u3;63,00;107,00;6,73;21,37;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:50 UTC;enp0s20f0u1u3;60,00;109,00;6,39;21,84;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:51 UTC;enp0s20f0u1u3;67,00;117,00;7,70;23,40;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:52 UTC;enp0s20f0u1u3;77,00;123,00;9,27;23,88;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:53 UTC;enp0s20f0u1u3;86,00;136,00;12,41;27,62;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:54 UTC;enp0s20f0u1u3;73,00;126,00;9,64;25,16;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:55 UTC;enp0s20f0u1u3;105,00;171,00;15,12;34,04;0,00;0,00;0,00;0,03
zenbook;1;2018-01-25 19:10:56 UTC;enp0s20f0u1u3;86,00;142,00;11,95;28,42;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 19:10:57 UTC;enp0s20f0u1u3;98,00;175,00;13,62;35,97;0,00;0,00;0,00;0,03
zenbook;1;2018-01-25 19:10:58 UTC;enp0s20f0u1u3;100,00;162,00;14,37;31,82;0,00;0,00;0,00;0,03
zenbook;1;2018-01-25 19:10:59 UTC;enp0s20f0u1u3;135,00;221,00;19,42;45,36;0,00;0,00;0,00;0,04
zenbook;1;2018-01-25 19:11:00 UTC;enp0s20f0u1u3;118,00;200,00;14,63;40,92;0,00;0,00;0,00;0,03
zenbook;1;2018-01-25 19:11:01 UTC;enp0s20f0u1u3;150,00;240,00;24,00;48,51;0,00;0,00;0,00;0,04
zenbook;1;2018-01-25 19:11:02 UTC;enp0s20f0u1u3;161,00;267,00;24,51;55,69;0,00;0,00;0,00;0,05
zenbook;1;2018-01-25 19:11:03 UTC;enp0s20f0u1u3;141,00;240,00;17,11;48,79;0,00;0,00;0,00;0,04
zenbook;1;2018-01-25 19:11:04 UTC;enp0s20f0u1u3;120,00;213,00;12,69;43,01;0,00;0,00;0,00;0,04
zenbook;1;2018-01-25 19:11:05 UTC;enp0s20f0u1u3;127,00;230,00;13,59;45,20;0,00;0,00;0,00;0,04
zenbook;1;2018-01-25 19:11:06 UTC;enp0s20f0u1u3;115,00;207,00;12,21;41,91;0,00;0,00;0,00;0,03
zenbook;1;2018-01-25 19:11:07 UTC;enp0s20f0u1u3;116,00;210,00;12,29;42,37;0,00;0,00;0,00;0,03
zenbook;1;2018-01-25 19:11:08 UTC;enp0s20f0u1u3;122,00;223,00;12,94;44,29;0,00;0,00;0,00;0,04
zenbook;1;2018-01-25 19:11:09 UTC;enp0s20f0u1u3;122,00;228,00;12,81;45,16;0,00;0,00;0,00;0,04
zenbook;1;2018-01-25 19:11:10 UTC;enp0s20f0u1u3;112,00;210,00;11,76;42,47;0,00;0,00;0,00;0,03
zenbook;1;2018-01-25 19:11:11 UTC;enp0s20f0u1u3;125,00;216,00;13,48;42,30;0,00;0,00;0,00;0,03
zenbook;1;2018-01-25 19:11:12 UTC;enp0s20f0u1u3;121,00;227,00;12,68;44,82;0,00;0,00;0,00;0,04
zenbook;1;2018-01-25 19:11:13 UTC;enp0s20f0u1u3;122,00;213,00;12,82;42,67;0,00;0,00;0,00;0,03
zenbook;1;2018-01-25 19:11:14 UTC;enp0s20f0u1u3;120,00;212,00;13,20;42,74;0,00;0,00;0,00;0,04
zenbook;1;2018-01-25 19:11:15 UTC;enp0s20f0u1u3;120,00;225,00;12,63;44,81;0,00;0,00;0,00;0,04
zenbook;1;2018-01-25 19:11:16 UTC;enp0s20f0u1u3;117,00;211,00;12,46;42,54;0,00;0,00;0,00;0,03
zenbook;1;2018-01-25 19:11:17 UTC;enp0s20f0u1u3;113,00;216,00;11,93;43,48;0,00;0,00;0,00;0,04
zenbook;1;2018-01-25 19:11:18 UTC;enp0s20f0u1u3;129,00;219,00;13,96;43,61;0,00;0,00;0,00;0,04
zenbook;1;2018-01-25 19:11:19 UTC;enp0s20f0u1u3;123,00;216,00;13,09;42,72;0,00;0,00;0,00;0,04
zenbook;1;2018-01-25 19:11:20 UTC;enp0s20f0u1u3;117,00;229,00;12,46;46,04;0,00;0,00;0,00;0,04
zenbook;1;2018-01-25 19:11:21 UTC;enp0s20f0u1u3;122,00;207,00;12,90;40,83;0,00;0,00;0,00;0,03
zenbook;1;2018-01-25 19:11:22 UTC;enp0s20f0u1u3;117,00;226,00;12,35;44,96;0,00;0,00;0,00;0,04
zenbook;1;2018-01-25 19:11:23 UTC;enp0s20f0u1u3;126,00;211,00;13,21;42,03;0,00;0,00;0,00;0,03
zenbook;1;2018-01-25 19:11:24 UTC;enp0s20f0u1u3;122,00;231,00;13,44;46,21;0,00;0,00;0,00;0,04
zenbook;1;2018-01-25 19:11:25 UTC;enp0s20f0u1u3;125,00;214,00;13,10;41,42;0,00;0,00;0,00;0,03
zenbook;1;2018-01-25 19:11:26 UTC;enp0s20f0u1u3;119,00;222,00;12,50;44,93;0,00;0,00;0,00;0,04
zenbook;1;2018-01-25 19:11:27 UTC;enp0s20f0u1u3;116,00;207,00;12,47;41,53;0,00;0,00;0,00;0,03
zenbook;1;2018-01-25 19:11:28 UTC;enp0s20f0u1u3;125,00;233,00;13,29;46,05;0,00;0,00;0,00;0,04
zenbook;1;2018-01-25 19:11:29 UTC;enp0s20f0u1u3;120,00;218,00;12,73;43,14;0,00;0,00;0,00;0,04
zenbook;1;2018-01-25 19:11:30 UTC;enp0s20f0u1u3;117,00;205,00;12,22;41,26;0,00;0,00;0,00;0,03
zenbook;1;2018-01-25 19:11:31 UTC;enp0s20f0u1u3;119,00;232,00;12,66;45,77;0,00;0,00;0,00;0,04
zenbook;1;2018-01-25 19:11:32 UTC;enp0s20f0u1u3;115,00;218,00;12,13;43,60;0,00;0,00;0,00;0,04
zenbook;1;2018-01-25 19:11:33 UTC;enp0s20f0u1u3;132,00;217,00;14,35;42,67;0,00;0,00;0,00;0,03
zenbook;1;2018-01-25 19:11:34 UTC;enp0s20f0u1u3;115,00;212,00;12,22;42,66;0,00;0,00;0,00;0,03
zenbook;1;2018-01-25 19:11:35 UTC;enp0s20f0u1u3;117,00;225,00;12,54;44,95;0,00;0,00;0,00;0,04
zenbook;1;2018-01-25 19:11:36 UTC;enp0s20f0u1u3;119,00;212,00;12,89;42,80;0,00;0,00;0,00;0,04
zenbook;1;2018-01-25 19:11:37 UTC;enp0s20f0u1u3;114,00;205,00;12,18;41,20;0,00;0,00;0,00;0,03
zenbook;1;2018-01-25 19:11:38 UTC;enp0s20f0u1u3;127,00;236,00;13,67;46,61;0,00;0,00;0,00;0,04
zenbook;1;2018-01-25 19:11:39 UTC;enp0s20f0u1u3;120,00;219,00;12,71;43,39;0,00;0,00;0,00;0,04
zenbook;1;2018-01-25 19:11:40 UTC;enp0s20f0u1u3;109,00;199,00;11,43;40,51;0,00;0,00;0,00;0,03
zenbook;1;2018-01-25 19:11:41 UTC;enp0s20f0u1u3;125,00;231,00;13,34;45,61;0,00;0,00;0,00;0,04
zenbook;1;2018-01-25 19:11:42 UTC;enp0s20f0u1u3;113,00;211,00;11,81;42,44;0,00;0,00;0,00;0,03
zenbook;1;2018-01-25 19:11:43 UTC;enp0s20f0u1u3;126,00;220,00;13,48;43,45;0,00;0,00;0,00;0,04
zenbook;1;2018-01-25 19:11:44 UTC;enp0s20f0u1u3;116,00;216,00;12,85;43,66;0,00;0,00;0,00;0,04
zenbook;1;2018-01-25 19:11:45 UTC;enp0s20f0u1u3;118,00;210,00;12,98;41,68;0,00;0,00;0,00;0,03
zenbook;1;2018-01-25 19:11:46 UTC;enp0s20f0u1u3;117,00;215,00;12,26;43,36;0,00;0,00;0,00;0,04
zenbook;1;2018-01-25 19:11:47 UTC;enp0s20f0u1u3;118,00;221,00;12,39;44,47;0,00;0,00;0,00;0,04
zenbook;1;2018-01-25 19:11:48 UTC;enp0s20f0u1u3;124,00;215,00;13,07;42,67;0,00;0,00;0,00;0,03
zenbook;1;2018-01-25 19:11:49 UTC;enp0s20f0u1u3;117,00;215,00;12,32;42,87;0,00;0,00;0,00;0,04
zenbook;1;2018-01-25 19:11:50 UTC;enp0s20f0u1u3;123,00;222,00;13,84;44,61;0,00;0,00;0,00;0,04
zenbook;1;2018-01-25 19:11:51 UTC;enp0s20f0u1u3;127,00;225,00;13,34;44,00;0,00;0,00;0,00;0,04
zenbook;1;2018-01-25 19:11:52 UTC;enp0s20f0u1u3;115,00;212,00;12,02;42,71;0,00;0,00;0,00;0,03
zenbook;1;2018-01-25 19:11:53 UTC;enp0s20f0u1u3;126,00;224,00;13,41;44,26;0,00;0,00;0,00;0,04
zenbook;1;2018-01-25 19:11:54 UTC;enp0s20f0u1u3;115,00;213,00;12,16;42,85;0,00;0,00;0,00;0,04
zenbook;1;2018-01-25 19:11:55 UTC;enp0s20f0u1u3;125,00;214,00;13,27;42,36;0,00;0,00;0,00;0,03
zenbook;1;2018-01-25 19:11:56 UTC;enp0s20f0u1u3;124,00;225,00;13,08;45,00;0,00;0,00;0,00;0,04
zenbook;1;2018-01-25 19:11:57 UTC;enp0s20f0u1u3;121,00;210,00;12,71;42,13;0,00;0,00;0,00;0,03
zenbook;1;2018-01-25 19:11:58 UTC;enp0s20f0u1u3;126,00;224,00;13,44;44,26;0,00;0,00;0,00;0,04
zenbook;1;2018-01-25 19:11:59 UTC;enp0s20f0u1u3;120,00;220,00;12,80;43,34;0,00;0,00;0,00;0,04
zenbook;1;2018-01-25 19:12:00 UTC;enp0s20f0u1u3;118,00;216,00;12,97;43,01;0,00;0,00;0,00;0,04
zenbook;1;2018-01-25 19:12:01 UTC;enp0s20f0u1u3;127,00;227,00;13,36;44,50;0,00;0,00;0,00;0,04
